"featured","promo_video_url","price_500g","price_per_kg","keywords","price_500ml","signature_display_order","image_url","display_order","description","price_200ml","in_stock","price_1000ml","unit","price","show_category_badge","name","price_1kg","ingredients","price_250g","default_display_volume","category","max_weight_kg","featured_in_footer","id","created_date","updated_date","created_by_id","created_by","is_sample"
"true","https://base44.app/api/apps/68e6146089ccb876f02ada79/files/mp/public/68e6146089ccb876f02ada79/4da97246b_WhatsAppVideo2026-04-17at111937AM.mp4","","","","500","4","https://base44.app/api/apps/68e6146089ccb876f02ada79/files/mp/public/68e6146089ccb876f02ada79/453b6f6d2_final_670x670.png","13","Made with pure cow’s milk, our Ghee is slow-cooked the traditional way, delivering unmatched richness and aroma","260","true","1000","ml","0","false","Ghee","","","","1000ml","ghee","10","false","697c883156ec4a7c9e11017d","2026-01-30T10:30:09.882000","2026-04-18T05:44:31.988000","68e6146089ccb876f02ada7a","contentcherri@gmail.com","false"
"false","","400","780","","","3","https://base44.app/api/apps/68e6146089ccb876f02ada79/files/mp/public/68e6146089ccb876f02ada79/5084d34b6_619xfr7xMHL.jpg","12","Made from premium cashews & pure ingredients.","","true","","kg","0","false","Kaju Katli","","","220","200ml","ghee_sweets","10","false","6965edd6b31b8298876ccc51","2026-01-13T07:01:42.818000","2026-04-11T07:17:42.561000","68e6146089ccb876f02ada7a","contentcherri@gmail.com","false"
"false","","280","480","","","0","https://base44.app/api/apps/68e6146089ccb876f02ada79/files/mp/public/68e6146089ccb876f02ada79/9a5569a35_sweet_670x670.png","10","Innovative sweets with a classic taste.","","true","","kg","0","false","Horlicks Milk Sweet","","","140","200ml","ghee_sweets","10","false","6965ed543b68a805478efc33","2026-01-13T06:59:32.756000","2026-04-18T05:46:39.799000","68e6146089ccb876f02ada7a","contentcherri@gmail.com","false"
"true","https://base44.app/api/apps/68e6146089ccb876f02ada79/files/mp/public/68e6146089ccb876f02ada79/248eb7853_WhatsAppVideo2026-04-07at10328PM1.mp4","230","360","","","1","https://base44.app/api/apps/68e6146089ccb876f02ada79/files/mp/public/68e6146089ccb876f02ada79/7e0325d0b_ChatGPTImageApr18202611_09_41AM.png","1","Made from fresh milk and careful stirring, Palgova is simple yet special.","","true","","kg","0","false"," Palgova","","","120","200ml","ghee_sweets","10","false","6965de5b74bc4ada4249fb74","2026-01-13T05:55:39.478000","2026-04-18T05:39:08.148000","68e6146089ccb876f02ada7a","contentcherri@gmail.com","false"
"false","","260","480","","","0","https://base44.app/api/apps/68e6146089ccb876f02ada79/files/mp/public/68e6146089ccb876f02ada79/1ed77344e_ChatGPTImageApr18202611_42_10AM.png","2","Naturally sweetened palgova made the traditional way with nattu sakkarai","","true","","kg","0","false","Nattu Sakkarai Palgova","","","140","200ml","ghee_sweets","30","false","695b8740d15b917bdacec511","2026-01-05T09:41:20.431000","2026-04-18T06:11:48.553000","68e6146089ccb876f02ada7a","contentcherri@gmail.com","false"
"false","","380","700","","","2","https://base44.app/api/apps/68e6146089ccb876f02ada79/files/mp/public/68e6146089ccb876f02ada79/2e4a42662_yellow_sweet_670x670.png","11","A royal treat made from pure badam","","true","","kg","0","false","Badham Milk Sweet","0","","200","200ml","ghee_sweets","50","false","6953b01f9bebdcf34b10e830","2025-12-30T10:57:35.831000","2026-04-18T05:54:10.671000","68e6146089ccb876f02ada7a","contentcherri@gmail.com","false"
"false","","250","440","","","0","https://base44.app/api/apps/68e6146089ccb876f02ada79/files/mp/public/68e6146089ccb876f02ada79/bd765f9be_milk_peda_670x670.png","7","A little peda, a lot of sweetness","","true","","kg","0","false","Milk peda","480","","140","200ml","ghee_sweets","10","false","6953af12067704b8901482cd","2025-12-30T10:53:06.849000","2026-04-18T05:56:18.215000","68e6146089ccb876f02ada7a","contentcherri@gmail.com","false"
"false","","250","440","","","0","https://base44.app/api/apps/68e6146089ccb876f02ada79/files/mp/public/68e6146089ccb876f02ada79/06cfcdd39_sweet_plate_670x670.png","8","Ajmeeri Barfi — richness you can taste in every bite.","","true","","kg","0","false","Ajmeeri Barfi","360","","140","200ml","cashew_sweets","10","false","6953aed360bad247a3bc9459","2025-12-30T10:52:03.441000","2026-04-18T05:58:35.411000","68e6146089ccb876f02ada7a","contentcherri@gmail.com","false"
"false","","260","480","","","0","https://base44.app/api/apps/68e6146089ccb876f02ada79/files/mp/public/68e6146089ccb876f02ada79/49139c467_milk_sweet_670x670.png","4","Every bite of Kalakhand feels like pure happiness melting in your mouth","","true","","kg","900","false","Kalakhand Palgova","","","140","200ml","mysurpa","10","false","68e632bc5a322cf5daf49d0d","2025-10-08T09:45:32.552000","2026-07-02T05:37:16.480000","68e6146089ccb876f02ada7a","contentcherri@gmail.com","false"
"true","https://base44.app/api/apps/68e6146089ccb876f02ada79/files/mp/public/68e6146089ccb876f02ada79/073be0a1b_WhatsAppVideo2026-04-07at10328PM2.mp4","300","580","","","2","https://base44.app/api/apps/68e6146089ccb876f02ada79/files/mp/public/68e6146089ccb876f02ada79/4f07c19cf_sweet_resized_430.png","3","Naturally sweetened with palm jaggery, this palgova offers an authentic village-style taste","","true","","kg","400","false","Panaivellam Palgova","","","160","200ml","ghee_sweets","10","false","68e632bc5a322cf5daf49d0e","2025-10-08T09:45:32.552000","2026-04-07T12:16:32.190000","68e6146089ccb876f02ada7a","contentcherri@gmail.com","false"
